farmacia,nome,marca,ean_gtin,preco_de,preco_por,preco_cartao,preco_pix,desconto_pct,url,data_coleta
FarmaPonte,"Levotiroxina Sodica Merck 100Mcg, Caixa Com 30 Comprimidos",Merck,7891721202858,10.71,10.39,10.39,10.18,2.99,https://www.farmaponte.com.br/levotiroxina-sodica-merck-100mcg-caixa-com-30-comprimidos/p,2026-05-05 09:09:23
FarmaPonte,"Aradois 50Mg, Caixa Com 30 Comprimidos Revestidos",Biolab,7896112486787,57.29,12.51,12.51,12.26,78.16,https://www.farmaponte.com.br/aradois-50mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:23
FarmaPonte,Lacday 10.000U.Fcc 60 Comprimidos Mastigáveis,,7896004759975,145.08,99.0,99.0,97.02,31.76,https://www.farmaponte.com.br/lacday-60cpr-mast/p,2026-05-05 09:09:23
FarmaPonte,Suplemento Alimentar Pediátrico Kollis 8Ml Gotas,,7894916513722,189.0,159.02,159.03,155.84,15.86,https://www.farmaponte.com.br/kollis-solucao-gotas-8ml/p,2026-05-05 09:09:24
FarmaPonte,Hirudoid 5mg g gel bisnaga com 40g,Daiichi-Sankyo,7897411601543,49.69,49.17,49.17,48.19,1.05,https://www.farmaponte.com.br/hirudoid-500mg-gel-40gr/p,2026-05-05 09:09:24
FarmaPonte,"Loratamed 10Mg, Caixa Com 12 Comprimidos",Cimed,7896523202822,22.44,9.74,9.74,9.55,56.6,https://www.farmaponte.com.br/loratamed-10mg-caixa-com-12-comprimidos/p,2026-05-05 09:09:24
FarmaPonte,Probiatop 30 Saches Com 1G De Po Para Solucao De Uso Oral,Farmoquímica,7898040323844,184.57,176.43,176.43,155.26,4.41,https://www.farmaponte.com.br/probiatop-30-saches-com-1g-de-po-para-solucao-de-uso-oral/p,2026-05-05 09:09:24
FarmaPonte,Naturetti 16 Cápsulas,Neo Química,7896714292168,75.95,67.6,67.6,66.25,10.99,https://www.farmaponte.com.br/naturetti-caixa-com-16-capsulas-gelatinosas-duras/p,2026-05-05 09:09:24
FarmaPonte,Oxipelle 10mg ml Solução  frasco 20ml,Bausch + Lomb,7896862993207,63.09,54.89,54.89,53.79,13.0,https://www.farmaponte.com.br/oxipelle-sol-20ml/p,2026-05-05 09:09:25
FarmaPonte,Xantinon Complex União Química 1 Flaconete 10mL,União Química,7896006216636,3.89,3.89,3.89,,0.0,https://www.farmaponte.com.br/xantinon-complex-40mgml-53mgml-50mgml-1-flaconete-com-10ml-de-solucao-de-uso-oral/p,2026-05-05 09:09:25
FarmaPonte,"Natifa 1Mg, Caixa Com 28 Comprimidos Revestidos",Libbs,7896094201460,78.72,67.7,67.7,66.35,14.0,https://www.farmaponte.com.br/natifa-1mg-caixa-com-28-comprimidos-revestidos/p,2026-05-05 09:09:25
FarmaPonte,Lufta Gastro Pro C 12 Sachet 10Ml,,7891035650147,60.86,58.3,58.3,57.13,4.21,https://www.farmaponte.com.br/lufta-gastro-pro-c-12-sachet-10ml/p,2026-05-05 09:09:25
